Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
0,0.9248,76.28582,0.0,0.0,0.0,3.414,0.0,0,0,128,45.00896,0.01309,0.434,19.05,0.0,1.0,101.92911410093515
1,0.9913,91.11597,0.0,0.0,0.0,2.309,16.14659,0,0,128,45.02242,0.01406,1.1263,24.598,-1.0,1.0,103.1631823985308
2,0.97624,92.20168,0.0,0.0,0.0,2.39,14.95847,0,0,128,45.01574,0.01611,1.1485,26.132,-1.0,1.0,103.6343760934648
3,0.99367,69.72192,0.0,0.0,0.0,3.682,16.68072,0,0,127,45.02579,0.00576,1.1542,23.416,-1.0,1.0,98.73631995149687
4,0.89151,60.1977,0.0,0.0,1.5,4.192,10.44433,0,0,126,45.20293,0.00693,1.1667,18.179,-1.0,1.0,96.21898132932134
5,0.93428,63.36753,0.0,0.0,1.0,4.134,14.64735,0,0,126,45.20613,0.00557,1.1589,21.443,-1.0,1.0,96.08384706471968
6,0.9219,62.80824,0.0,0.0,0.0,4.334,17.3291,0,0,127,45.28207,0.004,1.507,23.788,-1.0,1.0,94.90582526789908
7,0.94723,62.04722,0.0,0.0,0.0,4.545,19.79233,0,0,125,45.29626,0.00381,1.4869,19.613,-1.0,1.0,92.59326294842259
8,0.88402,81.01401,0.0,0.0,0.0,3.085,23.96293,0,0,126,45.2215,0.01006,1.1971,24.774,0.28618,1.0,97.27980279654872
9,0.97487,73.32772,0.0,0.0,0.0,2.789,29.25778,0,0,126,45.3031,0.00459,1.1809,9.859,-1.0,1.0,83.03690558159973
10,0.98486,69.89706,0.0,0.0,0.0,2.928,20.44036,0,0,126,45.39216,0.00576,0.4779,9.018,-1.0,1.0,77.09880793676436
11,0.97312,70.20187,0.0,0.0,1.0,2.848,18.58303,0,0,126,45.2942,0.0042,1.1453,13.866,-1.0,1.0,76.37266861048661
12,0.91234,68.85103,0.0,0.0,2.5,2.896,19.36992,0,0,127,45.309,0.00449,1.1746,18.581,-1.0,1.0,72.33321514286986
13,0.96773,66.3062,0.0,0.0,0.5,2.954,19.62741,0,0,128,45.34959,0.0041,1.1636,13.806,-1.0,1.0,75.32665490774221
14,0.96858,71.73538,0.0,0.0,0.0,2.355,20.33144,0,0,129,45.23306,0.00645,1.1466,13.61,-1.0,1.0,82.43047234058818
15,0.89197,71.11626,0.0,0.0,0.0,2.523,20.53988,0,0,128,45.25163,0.00615,1.1777,18.938,-1.0,1.0,83.26707046271098
